19001;Acil Yardım Ve Afet Yönetimi (Fakülte);1495;1036
20001;Acil Yardım Ve Afet Yönetimi (Yüksekokul);404;315
19502;Adli Bilimler;158;31
19002;Adli Bilişim Mühendisliği;139;289
39001;Adli Bilişim Mühendisliği (M.T.O.K.);24;26
19003;Ağaç İşleri Endüstri Mühendisliği;45;183
50005;Ağaç İşleri Endüstri Mühendisliği (M.T.O.K.);0;0
10001;Aile Ve Tüketici Bilimleri;289;107
18002;Aktüerya Bilimleri (Fakülte);359;450
20004;Aktüerya Bilimleri (Yüksekokul);31;37
10003;Alman Dili Ve Edebiyatı;2471;1528
97100;Almanca Mütercim Ve Tercümanlık (Fakülte);420;312
97101;Almanca Mütercim Ve Tercümanlık (Yüksekokul);122;46
10004;Almanca Öğretmenliği;2840;1404
10005;Amerikan Kültürü Ve Edebiyatı;1407;1087
19515;Antrenörlük Eğitimi (Fakülte);219;694
97102;Antrenörlük Eğitimi (Yüksekokul);0;0
10006;Antropoloji;738;772
10007;Arap Dili Ve Edebiyatı;2003;1127
97105;Arapça Mütercim Ve Tercümanlık (Fakülte);80;42
97106;Arapça Mütercim Ve Tercümanlık (Yüksekokul);211;85
10008;Arapça Öğretmenliği;703;310
10010;Arkeoloji;3445;5682
10009;Arkeoloji Ve Sanat Tarihi;46;20
19006;Arnavut Dili Ve Edebiyatı;18;32
10011;Astronomi Ve Uzay Bilimleri;443;816
555540;Ayakkabı Tasarımı Ve Üretimi;15;18
10013;Azerbaycan Türkçesi Ve Edebiyatı;66;126
10801;Bahçe Bitkileri;1588;3013
19072;Balıkçılık Teknolojisi Mühendisliği;16;79
20007;Bankacılık;202;181
10015;Bankacılık Ve Finans;0;0
18013;Bankacılık Ve Sigortacılık (Fakülte);341;271
20807;Bankacılık Ve Sigortacılık (Yüksekokul);254;239
29002;Basım Teknolojileri;60;122
10019;Basın Ve Yayın;180;201
60002;Batı Dilleri;0;0
29003;Beden Eğitimi Ve Spor Öğretmenliği (Fakülte);202;719
97109;Beden Eğitimi Ve Spor Öğretmenliği (Yüksekokul);22;37
10020;Beslenme Ve Diyetetik (Fakülte);15567;1812
20008;Beslenme Ve Diyetetik (Yüksekokul);1791;283
555547;Bilgi Güvenliği Teknolojisi (Fakülte);9;43
97111;Bilgi Güvenliği Teknolojisi (Yüksekokul);0;0
10021;Bilgi Ve Belge Yönetimi;1872;1066
10023;Bilgisayar Bilimleri;74;321
10024;Bilgisayar Mühendisliği;12768;40826
30001;Bilgisayar Mühendisliği (M.T.O.K.);21;234
555548;Bilgisayar Teknolojisi Ve Bilişim Sistemleri;15;111
20101;Bilgisayar Ve Öğretim Teknolojileri Öğretmenliği;1124;1869
11400;Bilim Tarihi;350;286
10027;Bilişim Sistemleri Mühendisliği;400;967
39002;Bilişim Sistemleri Mühendisliği (M.T.O.K.);23;101
10028;Bilişim Sistemleri Ve Teknolojileri (Fakülte);44;200
97112;Bilişim Sistemleri Ve Teknolojileri (Yüksekokul);39;211
10802;Bitki Koruma;1682;3774
11409;Bitkisel Üretim Ve Teknolojileri;87;131
19009;Biyoenformatik Ve Genetik;0;0
10029;Biyokimya;778;361
10031;Biyoloji;8624;4475
10030;Biyoloji Öğretmenliği;484;156
10032;Biyomedikal Mühendisliği;3247;2546
39003;Biyomedikal Mühendisliği (M.T.O.K.);16;37
10033;Biyomühendislik;2236;827
10818;Biyosistem Mühendisliği;635;795
11408;Biyoteknoloji;515;383
19011;Boşnak Dili Ve Edebiyatı;17;32
10034;Bulgar Dili Ve Edebiyatı;68;88
97147;Bulgarca Mütercim Ve Tercümanlık;8;19
10237;Cevher Hazırlama Mühendisliği;119;177
10036;Coğrafya;7672;7518
49000;Coğrafya(açıköğretim);7170;9481
10035;Coğrafya Öğretmenliği;289;354
10037;Çağdaş Türk Lehçeleri Ve Edebiyatları;3243;1667
10038;Çağdaş Yunan Dili Ve Edebiyatı;371;302
10039;Çalışma Ekonomisi Ve Endüstri İlişkileri;7520;6204
49001;Çalışma Ekonomisi Ve Endüstri İlişkileri(açıköğretim);30467;35662
19013;Çerkez Dili Ve Kültürü;23;36
11001;Çeviribilimi;268;181
10042;Çevre Mühendisliği;3707;2981
10043;Çin Dili Ve Edebiyatı;257;153
97148;Çince Mütercim Ve Tercümanlık;10;9
19073;Çizgi Film Ve Animasyon;243;277
70300;Çocuk Gelişimi(açıköğretim);127974;10282
10701;Çocuk Gelişimi (Fakülte);6793;512
20901;Çocuk Gelişimi (Yüksekokul);754;25
10046;Deniz Ulaştırma İşletme Mühendisliği (Fakülte);302;3141
97114;Deniz Ulaştırma İşletme Mühendisliği (Yüksekokul);0;0
11106;Denizcilik İşletmeleri Yönetimi;709;2090
10047;Deri Mühendisliği;59;140
18004;Dijital Oyun Tasarımı;106;654
19015;Dil Ve Konuşma Terapisi (Fakülte);1962;464
555549;Dil Ve Konuşma Terapisi (Yüksekokul);75;31
19016;Dilbilimi;348;296
10049;Diş Hekimliği;17560;13916
60006;Doğu Dilleri;0;0
10247;Ebelik (Fakülte);5812;54
20024;Ebelik (Yüksekokul);121;1
10050;Eczacılık;11593;5971
998877;Egzersiz Ve Spor Bilimleri;18;37
97151;Egzersiz Ve Spor Bilimleri(açıköğretim);3542;6115
10051;Ekonometri;4124;4609
10053;Ekonomi;1264;1990
10052;Ekonomi Ve Finans;860;1102
705000;El Sanatları;168;32
39004;El Sanatları (M.T.O.K.);63;4
10055;Elektrik Mühendisliği;457;3217
10056;Elektrik-elektronik Mühendisliği;8428;43450
30003;Elektrik-elektronik Mühendisliği (M.T.O.K.);19;406
10057;Elektronik Mühendisliği;83;553
97158;Elektronik Ticaret Ve Yönetimi;32;89
50020;Elektronik Ticaret Ve Yönetimi(açıköğretim);0;0
10058;Elektronik Ve Haberleşme Mühendisliği;634;3160
10059;Endüstri Mühendisliği;15201;15236
10062;Endüstriyel Tasarım (Fakülte);1505;854
97120;Endüstriyel Tasarım (Yüksekokul);19;20
19018;Endüstriyel Tasarım Mühendisliği;325;221
39005;Endüstriyel Tasarım Mühendisliği (M.T.O.K.);22;45
10160;Enerji Bilimi Ve Teknolojileri;0;0
19530;Enerji Mühendisliği;65;100
10063;Enerji Sistemleri Mühendisliği;766;2181
30004;Enerji Sistemleri Mühendisliği (M.T.O.K.);18;103
19019;Enerji Yönetimi;42;77
11301;Ergoterapi;1260;252
707000;Ermeni Dili Ve Kültürü;8;16
10065;Eski Yunan Dili Ve Edebiyatı;296;367
10066;Fars Dili Ve Edebiyatı;641;479
97152;Farsça Mütercim Ve Tercümanlık;4;3
10068;Felsefe;7610;4970
49002;Felsefe(açıköğretim);17803;16598
10067;Felsefe Grubu Öğretmenliği;141;64
10069;Fen Bilgisi Öğretmenliği;9284;3156
19020;Film Tasarımı Ve Yazarlığı;17;23
11401;Film Tasarımı Ve Yönetimi;29;43
19021;Film Tasarımı Ve Yönetmenliği;12;28
60302;Finans Ve Bankacılık (Fakülte);1316;968
97122;Finans Ve Bankacılık (Yüksekokul);257;181
10074;Fizik;2611;5011
10071;Fizik Mühendisliği;515;941
10072;Fizik Öğretmenliği;405;365
11016;Fizyoterapi Ve Rehabilitasyon (Fakülte);11784;5051
20033;Fizyoterapi Ve Rehabilitasyon (Yüksekokul);1772;787
19550;Fotoğraf;68;107
19023;Fotoğraf Ve Video;158;212
554500;Fotonik;28;50
10075;Fransız Dili Ve Edebiyatı;1619;967
97157;Fransızca Mütercim Ve Tercümanlık;368;220
10076;Fransızca Öğretmenliği;1371;802
19024;Gastronomi Ve Mutfak Sanatları (Fakülte);6138;5719
50008;Gastronomi Ve Mutfak Sanatları (Fakülte)(m.t.o.k);53;33
29022;Gastronomi Ve Mutfak Sanatları (Yüksekokul);1301;1217
19075;Gayrimenkul Geliştirme Ve Yönetimi (Fakülte);123;242
29501;Gayrimenkul Geliştirme Ve Yönetimi (Yüksekokul);4;11
10077;Gazetecilik;6182;7955
39006;Geleneksel Türk Sanatları (M.T.O.K.);41;5
10079;Gemi İnşaatı Ve Gemi Makineleri Mühendisliği;168;1609
10080;Gemi Makineleri İşletme Mühendisliği;71;1568
11017;Gemi Ve Deniz Teknolojisi Mühendisliği;78;314
11112;Gemi Ve Yat Tasarımı;17;33
10081;Genetik Ve Biyomühendislik;743;243
19086;Genetik Ve Yaşam Bilimleri Programları;41;21
10816;Geomatik Mühendisliği;437;794
10705;Gerontoloji;455;155
10082;Gıda Mühendisliği;7962;2949
97124;Gıda Teknolojisi (Fakülte);85;48
21114;Gıda Teknolojisi (Yüksekokul);77;62
11404;Girişimcilik;30;85
10819;Görsel İletişim Tasarımı;2968;2492
50002;Görsel İletişim Tasarımı(açıköğretim);0;0
19570;Görsel Sanatlar;0;0
39020;Görsel Sanatlar (M.T.O.K.);12;1
60303;Görsel Sanatlar Ve İletişim Tasarımı;0;0
97160;Grafik;176;98
97161;Grafik Sanatlar(açıköğretim);98;82
60304;Grafik Tasarımı;134;105
30006;Grafik Tasarımı (M.T.O.K.);14;1
20820;Gümrük İşletme (Fakülte);0;0
50013;Gümrük İşletme (Yüksekokul);184;322
10083;Gürcü Dili Ve Edebiyatı;51;84
10085;Halkbilimi;32;35
10088;Halkla İlişkiler;0;0
48020;Halkla İlişkiler Ve Reklamcılık(açıköğretim);16727;21372
10086;Halkla İlişkiler Ve Reklamcılık (Fakülte);3470;2987
21100;Halkla İlişkiler Ve Reklamcılık (Yüksekokul);55;33
10087;Halkla İlişkiler Ve Tanıtım;9201;7176
49003;Halkla İlişkiler Ve Tanıtım(açıköğretim);6375;9770
10808;Harita Mühendisliği;1255;2666
19055;Havacılık Elektrik Ve Elektroniği (Fakülte);99;405
20038;Havacılık Elektrik Ve Elektroniği (Yüksekokul);27;174
10089;Havacılık Ve Uzay Mühendisliği;424;1114
49049;Havacılık Yönetimi(açıköğretim);5836;12563
19076;Havacılık Yönetimi (Fakülte);1984;2829
29052;Havacılık Yönetimi (Yüksekokul);1046;1249
708000;Hayvansal Üretim Ve Teknolojileri;28;70
10248;Hemşirelik (Fakülte);40841;17007
20040;Hemşirelik (Yüksekokul);3625;1920
10091;Hidrojeoloji Mühendisliği;92;165
10092;Hindoloji;80;79
10093;Hititoloji;141;183
10094;Hukuk;34380;34464
10095;Hungaroloji;101;98
11121;İbrani Dili Ve Kültürü;7;10
10097;İç Mimarlık;5115;2574
10096;İç Mimarlık Ve Çevre Tasarımı;6710;2830
19028;İktisadi Ve İdari Bilimler Programları;103;120
19078;İktisadi Ve İdari Programlar;25;28
10098;İktisat;22656;31545
49004;İktisat(açıköğretim);46757;65286
20041;İlahiyat;45338;28701
50012;İlahiyat (M.T.O.K.);0;0
10102;İletişim;143;125
10099;İletişim Bilimleri;280;362
10100;İletişim Sanatları;140;135
11416;İletişim Tasarımı Ve Yönetimi;413;443
11101;İletişim Ve Tasarımı;369;290
10103;İlköğretim Matematik Öğretmenliği;13611;5886
10104;İmalat Mühendisliği;93;370
10105;İngiliz Dilbilimi;427;339
10106;İngiliz Dili Ve Edebiyatı;13438;7297
60305;İngiliz Ve Rus Dilleri Ve Edebiyatları;0;0
97174;İngilizce Mütercim Ve Tercümanlık (Fakülte);1093;915
11035;İngilizce Mütercim Ve Tercümanlık (Yüksekokul);413;245
10108;İngilizce Öğretmenliği;12941;7803
97199;İngilizce, Fransızca Mütercim Ve Tercümanlık;112;79
70900;İnsan Kaynakları Yönetimi(açıköğretim);0;0
10256;İnsan Kaynakları Yönetimi (Fakülte);1475;640
20105;İnsan Kaynakları Yönetimi (Yüksekokul);19;5
10110;İnşaat Mühendisliği;6843;31860
30008;İnşaat Mühendisliği (M.T.O.K.);13;109
60316;İslam Bilimleri;0;0
97171;İslam İktisadı Ve Finans;12;5
21300;İslami İlimler;11686;6779
50014;İslami İlimler (M.T.O.K.);0;0
10111;İspanyol Dili Ve Edebiyatı;171;109
10113;İstatistik;2387;3475
10112;İstatistik Ve Bilgisayar Bilimleri;97;384
71000;İş Sağlığı Ve Güvenliği(açıköğretim);4711;5927
19029;İş Sağlığı Ve Güvenliği (Fakülte);502;664
29006;İş Sağlığı Ve Güvenliği (Yüksekokul);188;245
10117;İşletme;26184;41816
49005;İşletme(açıköğretim);255170;419096
10116;İşletme Mühendisliği;470;592
10119;İtalyan Dili Ve Edebiyatı;335;213
10120;Japon Dili Ve Edebiyatı;313;308
10122;Japonca Mütercim Ve Tercümanlık;0;0
10121;Japonca Öğretmenliği;130;114
10123;Jeofizik Mühendisliği;373;767
10124;Jeoloji Mühendisliği;697;1597
10125;Kamu Yönetimi;5871;7199
49006;Kamu Yönetimi(açıköğretim);1683;3314
18003;Kanatlı Hayvan Yetiştiriciliği;13;38
11010;Karşılaştırmalı Edebiyat;613;317
60307;Kazak Dili Ve Edebiyatı;0;0
18008;Kentsel Tasarım Ve Peyzaj Mimarlığı;242;149
10128;Kimya;8815;5143
10127;Kimya Mühendisliği;6254;3887
20420;Kimya Öğretmenliği;617;184
10129;Kimya-biyoloji Mühendisliği;75;40
10810;Klasik Arkeoloji;496;466
11412;Kontrol Ve Otomasyon Mühendisliği;222;1324
10132;Kore Dili Ve Edebiyatı;538;156
19065;Kurgu, Ses Ve Görüntü Yönetimi;61;132
71100;Kuyumculuk Ve Mücevher Tasarımı (Fakülte);40;40
19590;Kuyumculuk Ve Mücevher Tasarımı (Yüksekokul);30;15
10703;Kültür Varlıklarını Koruma Ve Onarım (Fakülte);320;255
50001;Kültür Varlıklarını Koruma Ve Onarım (Yüksekokul);0;0
19079;Kültür Ve İletişim Bilimleri;73;53
19032;Küresel Siyaset Ve Uluslararası İlişkiler;12;23
11502;Kürt Dili Ve Edebiyatı;155;278
10137;Latin Dili Ve Edebiyatı;360;318
10138;Leh Dili Ve Edebiyatı;67;98
10139;Lojistik Yönetimi (Fakülte);546;922
29060;Lojistik Yönetimi (Yüksekokul);70;115
10140;Maden Mühendisliği;505;2436
10141;Makine Mühendisliği;5535;47500
30009;Makine Mühendisliği (M.T.O.K.);12;233
10143;Maliye;13832;15341
49008;Maliye(açıköğretim);42294;43301
10144;Malzeme Bilimi Ve Mühendisliği;497;914
19034;Malzeme Bilimi Ve Nanoteknoloji Mühendisliği;81;138
19080;Malzeme Bilimi Ve Teknolojileri;70;91
10148;Matematik;14715;11899
10146;Matematik Mühendisliği;717;857
10147;Matematik Öğretmenliği;809;568
10409;Matematik Ve Bilgisayar Bilimleri;129;222
11103;Medya Ve Görsel Sanatlar;368;201
10151;Medya Ve İletişim;293;254
10152;Mekatronik Mühendisliği;1479;8870
30010;Mekatronik Mühendisliği (M.T.O.K.);17;281
10153;Metalurji Ve Malzeme Mühendisliği;3000;6871
30011;Metalurji Ve Malzeme Mühendisliği (M.T.O.K.);42;145
10154;Meteoroloji Mühendisliği;305;308
10155;Mimarlık;18907;15020
19036;Moda Tasarımı (Fakülte);326;22
50009;Moda Tasarımı (Fakülte)(m.t.o.k);0;0
20057;Moda Tasarımı (Yüksekokul);67;9
10156;Moleküler Biyoloji Ve Genetik;8169;3692
19580;Moleküler Biyoteknoloji;141;67
10821;Muhasebe Ve Denetim;35;37
10410;Muhasebe Ve Finans Yönetimi (Fakülte);441;490
29010;Muhasebe Ve Finans Yönetimi (Yüksekokul);108;114
10904;Mühendislik Programları;167;331
10159;Mühendislik Ve Doğa Bilimleri Programları;219;476
11013;Mütercim-tercümanlık;0;0
19037;Müzecilik;69;110
10811;Müzik;51;57
19081;Nanobilim Ve Nanoteknoloji;39;107
19038;Nanoteknoloji Mühendisliği;27;76
10161;Nükleer Enerji Mühendisliği;139;350
11402;Odyoloji (Fakülte);2737;814
29011;Odyoloji (Yüksekokul);219;53
20062;Okul Öncesi Öğretmenliği;17437;4531
19039;Optik Ve Akustik Mühendisliği;69;43
29012;Organik Tarım İşletmeciliği (Fakülte);0;0
50018;Organik Tarım İşletmeciliği (Yüksekokul);22;67
10162;Orman Endüstrisi Mühendisliği;329;939
10163;Orman Mühendisliği;758;2119
19040;Ortez Ve Protez;270;145
20810;Otel Yöneticiliği;24;54
10164;Otomotiv Mühendisliği;215;2511
30013;Otomotiv Mühendisliği (M.T.O.K.);13;183
20903;Özel Eğitim Öğretmenliği;5796;4563
10165;Pazarlama (Fakülte);235;560
20107;Pazarlama (Yüksekokul);0;0
29013;Perfüzyon;55;34
10166;Petrol Ve Doğalgaz Mühendisliği;161;918
10168;Peyzaj Mimarlığı;5117;3233
11403;Pilotaj (Fakülte);91;596
554222;Pilotaj (Yüksekokul);59;281
10817;Polimer Malzeme Mühendisliği;8;20
554111;Politika Ve Ekonomi;34;64
10812;Protohistorya Ve Ön Asya Arkeolojisi;364;463
10169;Psikoloji;24054;7804
60308;Psikolojik Danışmanlık Ve Rehberlik;0;0
60309;Psikolojik Danışmanlık Ve Rehberlik Öğretmenliği;0;0
10171;Radyo, Televizyon Ve Sinema;5548;10668
11406;Raylı Sistemler Mühendisliği;39;333
10172;Rehberlik Ve Psikolojik Danışmanlık;17383;6964
10173;Reklam Tasarımı Ve İletişimi;153;114
10175;Reklamcılık;1189;1355
71500;Reklamcılık(açıköğretim);1031;2556
97187;Rekreasyon(açıköğretim);907;1003
19043;Rekreasyon (Fakülte);575;1442
97130;Rekreasyon (Yüksekokul);0;0
19044;Rekreasyon Yönetimi (Fakülte);511;995
50010;Rekreasyon Yönetimi (Fakülte)(m.t.o.k);37;61
28002;Rekreasyon Yönetimi (Yüksekokul);100;180
10176;Rus Dili Ve Edebiyatı;1414;1318
60311;Rus Dili Ve Edebiyatı Öğretmenliği;0;0
60313;Rus Ve İngiliz Dilleri Ve Edebiyatları;0;0
97126;Rusça Mütercim Ve Tercümanlık (Fakülte);21;13
97127;Rusça Mütercim Ve Tercümanlık (Yüksekokul);0;0
48021;Sağlık Yönetimi(açıköğretim);32952;24971
10238;Sağlık Yönetimi (Fakülte);11261;5716
20103;Sağlık Yönetimi (Yüksekokul);263;161
10179;Sanat Tarihi;6548;7969
19046;Sanat Ve Kültür Yönetimi;123;62
10180;Sanat Ve Sosyal Bilimler Programları;96;120
97143;Sermaye Piyasası (Fakülte);4;10
29016;Sermaye Piyasası (Yüksekokul);145;230
19047;Seyahat İşletmeciliği;53;119
11413;Seyahat İşletmeciliği Ve Turizm Rehberliği;314;399
10183;Sınıf Öğretmenliği;16818;6708
97189;Sigortacılık (Fakülte);23;47
20071;Sigortacılık (Yüksekokul);401;391
19540;Sigortacılık Ve Aktüerya Bilimleri;25;56
10184;Sigortacılık Ve Risk Yönetimi;93;194
19048;Sigortacılık Ve Sosyal Güvenlik;280;251
19049;Sinema Ve Dijital Medya;43;46
10185;Sinema Ve Televizyon;784;1497
10187;Sinoloji;150;96
97191;Siyasal Bilimler;0;0
10191;Siyaset Bilimi;124;101
10189;Siyaset Bilimi Ve Kamu Yönetimi;14302;18932
16520;Siyaset Bilimi Ve Kamu Yönetimi(açıköğretim);9199;20013
10190;Siyaset Bilimi Ve Uluslararası İlişkiler;6028;6674
97190;Siyaset Bilimi Ve Uluslararası İlişkiler(açıköğretim);3398;3630
10192;Sosyal Bilgiler Öğretmenliği;10041;6851
49010;Sosyal Hizmet(açıköğretim);10286;4263
10193;Sosyal Hizmet (Fakülte);10870;2896
20073;Sosyal Hizmet (Yüksekokul);873;210
10195;Sosyoloji;20326;7716
49011;Sosyoloji(açıköğretim);116812;68871
19051;Spor Yöneticiliği (Fakülte);1167;3918
20421;Spor Yöneticiliği (Yüksekokul);226;571
19700;Su Bilimleri Ve Mühendisliği;70;106
10196;Su Ürünleri Mühendisliği;438;1099
10197;Sümeroloji;57;99
19082;Süryani Dili Ve Edebiyatı;33;51
10813;Süt Teknolojisi;106;184
10198;Şehir Ve Bölge Planlama;5131;3819
19052;Takı Tasarımı (Fakülte);19;4
19057;Takı Tasarımı (Yüksekokul);11;7
29017;Tapu Kadastro;205;219
10809;Tarım Ekonomisi;1627;2491
10803;Tarım Makineleri Ve Teknolojileri Mühendisliği;169;1162
122334;Tarım Ticareti Ve İşletmeciliği;5;7
10814;Tarımsal Biyoteknoloji;565;726
19053;Tarımsal Genetik Mühendisliği;85;91
10804;Tarımsal Yapılar Ve Sulama;209;553
10201;Tarih;20207;28788
49012;Tarih(açıköğretim);20111;35275
10200;Tarih Öğretmenliği;291;399
19054;Tarih Öncesi Arkeolojisi;203;209
10805;Tarla Bitkileri;1245;3343
11504;Teknoloji Ve Bilgi Yönetimi;38;63
10203;Tekstil Mühendisliği;1556;1394
39012;Tekstil Mühendisliği (M.T.O.K.);9;7
719000;Tekstil Tasarımı;86;15
39011;Tekstil Tasarımı (M.T.O.K.);0;0
97117;Tekstil Ve Moda Tasarımı(açıköğretim);89;21
19066;Tekstil Ve Moda Tasarımı (Fakülte);443;86
97116;Tekstil Ve Moda Tasarımı (Yüksekokul);13;2
10205;Televizyon Haberciliği Ve Programcılığı;198;190
10206;Tıp;48584;48913
19067;Tıp Mühendisliği;131;118
19520;Tiyatro Eleştirmenliği Ve Dramaturji;149;133
72000;Tohum Bilimi Ve Teknolojisi;10;19
10806;Toprak Bilimi Ve Bitki Besleme;610;1307
10208;Turizm İşletmeciliği (Fakülte);2991;5790
20084;Turizm İşletmeciliği (Yüksekokul);256;445
11007;Turizm Rehberliği (Fakülte);2941;3345
72100;Turizm Rehberliği (Yüksekokul);374;398
20085;Turizm Ve Otel İşletmeciliği;0;0
10213;Türk Dili Ve Edebiyatı;33332;13519
49013;Türk Dili Ve Edebiyatı(açıköğretim);50647;24429
10212;Türk Dili Ve Edebiyatı Öğretmenliği;477;242
10214;Türk Halkbilimi;659;725
18020;Türk İslam Arkeolojisi;58;75
10215;Türkçe Öğretmenliği;11905;7194
60018;Türkoloji;0;0
20087;Tütün Eksperliği;10;75
123441;Uçak Bakım Ve Onarım (Fakülte);6;121
97118;Uçak Bakım Ve Onarım (Yüksekokul);5;103
20088;Uçak Elektrik Ve Elektroniği;9;55
19056;Uçak Gövde Ve Motor Bakımı (Fakülte);29;201
20089;Uçak Gövde Ve Motor Bakımı (Yüksekokul);12;170
10216;Uçak Mühendisliği;277;1161
19620;Ukrayna Dili Ve Edebiyatı;39;42
97183;Uluslararası Ekonomik İlişkiler;0;0
10218;Uluslararası Finans;223;395
19059;Uluslararası Finans Ve Bankacılık;42;27
11109;Uluslararası Girişimcilik;27;47
10220;Uluslararası İlişkiler;14265;14059
49014;Uluslararası İlişkiler(açıköğretim);48542;76104
10602;Uluslararası İşletme Yönetimi;60;53
97198;Uluslararası Tıp;205;180
10227;Uluslararası Ticaret (Fakülte);265;644
20091;Uluslararası Ticaret (Yüksekokul);470;674
11415;Uluslararası Ticaret Ve Finans;0;0
97103;Uluslararası Ticaret Ve Finansman;1126;1865
10226;Uluslararası Ticaret Ve İşletmecilik (Fakülte);1462;2432
20108;Uluslararası Ticaret Ve İşletmecilik (Yüksekokul);138;167
97186;Uluslararası Ticaret Ve Lojistik(açıköğretim));2950;4768
10824;Uluslararası Ticaret Ve Lojistik (Fakülte);2919;5264
20803;Uluslararası Ticaret Ve Lojistik (Yüksekokul);105;174
123458;Uluslararası Ulaştırma Sistemleri;7;12
10228;Urdu Dili Ve Edebiyatı;164;153
19060;Uzay Bilimleri Ve Teknolojileri;80;250
10230;Uzay Mühendisliği;174;456
97146;Uzay Ve Uydu Mühendisliği;14;27
10232;Veterinerlik;6028;9768
19062;Yaban Hayatı Ekolojisi Ve Yönetimi;17;59
554009;Yapay Zeka Mühendisliği;45;141
97145;Yapay Zeka Ve Veri Mühendisliği;8;33
123459;Yazılım Geliştirme;11;46
10233;Yazılım Mühendisliği;1484;4837
30017;Yazılım Mühendisliği (M.T.O.K.);54;282
10704;Yeni Medya (Fakülte);341;377
123450;Yeni Medya (Yüksekokul);26;55
19084;Yeni Medya Ve İletişim;741;707
18019;Yerel Yönetimler;146;160
19064;Yiyecek Ve İçecek İşletmeciliği;267;225
10054;Yönetim Bilimleri Programları;91;151
48024;Yönetim Bilişim Sistemleri(açıköğretim);16694;38554
10234;Yönetim Bilişim Sistemleri (Fakülte);3950;7986
20097;Yönetim Bilişim Sistemleri (Yüksekokul);391;915
10235;Yunan Dili Ve Edebiyatı;75;79
19068;Zaza Dili Ve Edebiyatı;82;198
19560;Ziraat Mühendisliği Programları;24;35
10807;Zootekni;861;2624
